day,time,address,district,accident_type,age,gender,suspect_vehicle,lat,long,Cluster
Saturday,Morning,btn minasa upa,rappocini,TL,NOV,NOV,R2,-5.1856769,119.4533275,4
Saturday,Night,veteran selatan,makassar,TK,adolescent,LK,R2,-5.1673416,119.4198624,11
Thursday,Morning,perintis kemerdekaan,tamalanrea,TB,adolescent,LK,R6,-5.1257155,119.5040112,1
Wednesday,Afternoon,mappanyukki,mariso,TL,NOV,NOV,R2,-5.156363,119.4149266,10
Monday,Night,tamalanrea raya,tamalanrea,TK,adult,LK,R2,-5.1389844,119.5193272,7
Sunday,Morning,tamangapa raya,manggala,TL,NOV,NOV,R2,-5.1767373,119.4843844,4
Tuesday,Morning,perintis kemerdekaan,tamalanrea,TM,adolescent,LK,R2,-5.1257155,119.5040112,1
Monday,Morning,tamalate 1,rappocini,TK,adult,LK,R2,-5.1675882,119.4479146,8
Wednesday,Morning,borong raya,manggala,TK,NOV,LK,R4,-5.1637473,119.4673699,3
Wednesday,Morning,mappainga,tamalate,TK,adult,LK,R4,-5.2147147,119.4000236,3
Tuesday,Morning,andalas,bontoala,TL,NOV,NOV,R4,-5.1268592,119.4185753,9
Thursday,Morning,boulevard,panakukang,TK,adolescent,LK,R2,-5.15694815,119.44655432802904,5
Thursday,Night,andi pangerang pettarani,rappocini,TM,adolescent,LK,R2,-5.1565899,119.4369069,0
Wednesday,Night,gunung latimojong,makassar,TL,NOV,NOV,R2,-5.1405404,119.4208275,10
Friday,Morning,perintis kemerdekaan,biringkanaya,TK,adolescent,LK,R2,-5.0934582,119.5134093,5
Thursday,Night,perintis kemerdekaan,tamalanrea,TL,NOV,NOV,R2,-5.1257155,119.5040112,10
Saturday,Morning,perintis kemerdekaan,tamalanrea,TK,adult,LK,R2,-5.1257155,119.5040112,8
Monday,Night,rappocini raya,rappocini,TK,adult,PR,R4,-5.1585335,119.4337899,3
Saturday,Night,perintis kemerdekaan,tamalanrea,TL,NOV,NOV,R2,-5.1257155,119.5040112,10
Friday,Morning,sultan hasanuddin,ujung pandang,TK,adolescent,LK,R2,-5.1452672,119.4126554,5
Sunday,Night,urip sumoharjo,makassar,TM,NOV,LK,R2,-5.1357297,119.4365744,0
Sunday,Night,perintis kemerdekaan,biringkanaya,TK,adult,LK,R2,-5.0934582,119.5134093,7
Saturday,Night,malengkeri,tamalate,TK,adolescent,LK,R4,-5.1875239,119.4339559,7
Thursday,Night,gunung agung,tamalate,TL,NOV,NOV,R4,-5.17961,119.3959942,2
Friday,Morning,aroepala,rappocini,TK,adult,PR,R2,-5.176439,119.4573487,8
Tuesday,Night,perintis kemerdekaan,biringkanaya,TM,adolescent,LK,R2,-5.0934582,119.5134093,0
Tuesday,Night,kumala,tamalate,TK,adolescent,LK,R2,-5.169866,119.4189942,11
Wednesday,Night,metro tanjung bunga,mariso,TK,adult,LK,R2,-5.1503551,119.4065236,7
Friday,Night,sultan alauddin,rappocini,TL,NOV,NOV,R2,-5.1847014,119.4408542,10
Wednesday,Night,borong raya,manggala,TL,NOV,NOV,R4,-5.1637473,119.4673699,2
Friday,Morning,kapasa raya,biringkanaya,TK,adult,LK,R2,-5.1127455,119.5090435,8
Saturday,Night,bandang,bontoala,TK,adolescent,LK,R2,-5.1265716,119.4194415,11
Friday,Morning,btn minasa upa,rappocini,TK,adult,LK,R4,-5.1856769,119.4533275,3
Sunday,Night,singa,mamajang,TK,adult,LK,R2,-5.1586101,119.4195207,7
Sunday,Morning,perintis kemerdekaan,tamalanrea,TK,adolescent,LK,R2,-5.1257155,119.5040112,5
Friday,Night,metro tanjung bunga,tamalate,TK,adult,PR,R2,-5.1661576,119.3917443,7
Sunday,Night,perintis kemerdekaan,biringkanaya,TK,adult,LK,R2,-5.0934582,119.5134093,7
Sunday,Night,veteran selatan,mamajang,TK,adult,LK,R4,-5.1671547,119.419923,3
Sunday,Night,perintis kemerdekaan,tamalanrea,TL,NOV,NOV,R2,-5.1257155,119.5040112,10
