day,time,address,district,accident_type,age,gender,suspect_vehicle,lat,long
Sunday,Morning,perintis kemerdekaan,tamalanrea,TK,adolescent,LK,R2,-5.1257155,119.5040112
Friday,Night,metro tanjung bunga,tamalate,TK,adult,PR,R2,-5.1661576,119.3917443
Sunday,Night,perintis kemerdekaan,biringkanaya,TK,adult,LK,R2,-5.0876472,119.5188217
Sunday,Night,veteran selatan,mamajang,TK,adult,LK,R4,-5.1671547,119.419923
Sunday,Night,perintis kemerdekaan,tamalanrea,TL,NOV,NOV,R2,-5.1257155,119.5040112
Sunday,Night,perintis kemerdekaan,tamalanrea,TK,adult,LK,R2,-5.1257155,119.5040112
Sunday,Morning,cendrawasih,mariso,T,adult,LK,R2,-5.1563543,119.412237
Tuesday,Night,inspeksi pam,manggala,TK,adult,LK,R2,-5.1552844,119.4774932
Monday,Morning,ade irma nasution,tallo,TK,adolescent,LK,R2,-5.1214728,119.4361603
Saturday,Night,kapasa raya,biringkanaya,TK,adolescent,LK,R2,-5.109131,119.5009769
Thursday,Night,gunung latimojong,makassar,TL,NOV,NOV,R2,-5.1405404,119.4208275
Wednesday,Night,tamalanrea raya,tamalanrea,TK,adolescent,LK,R2,-5.1377395,119.5159278
Friday,Morning,sawerigading,ujung pandang,TL,NOV,NOV,R4,-5.1408703,119.4127661
Saturday,Morning,gunung latimojong,bontoala,TK,adult,LK,R2,-5.1405404,119.4208275
Saturday,Night,sultan abdullah,tallo,TK,child,LK,R2,-5.1037126,119.4396863
Saturday,Night,tamangapa raya,manggala,TM,adolescent,LK,R2,-5.1767373,119.4843844
Saturday,Night,pengayoman,panakukang,TK,adult,LK,R2,-5.1581728,119.44619225187714
Friday,Night,panampu,tallo,TL,NOV,NOV,R2,-5.1143265,119.4269747
Sunday,Morning,kima raya 3,biringkanaya,TL,NOV,NOV,R2,-5.1128454,119.509013
Friday,Morning,andi tadde kalukuang,tallo,TL,NOV,NOV,R2,-5.1276054,119.4301568
Saturday,Morning,batara bira,biringkanaya,TK,adult,LK,R4,-5.0884975,119.5063692
Sunday,Night,mangerangi 3 makassar,tamalate,TK,adult,LK,R2,-5.1695646,119.4139864
Monday,Afternoon,lamadukelleng,ujung pandang,TM,adult,LK,R2,-5.1414467,119.4107642
Saturday,Night,urip sumoharjo,makassar,OC,child,LK,R2,-5.1463251,119.470172
Wednesday,Morning,perintis kemerdekaan,biringkanaya,TL,NOV,NOV,R4,-5.0876472,119.5188217
Monday,Night,sultan alauddin,rappocini,TL,NOV,NOV,R2,-5.1847014,119.4408542
Sunday,Morning,perintis kemerdekaan,biringkanaya,TL,NOV,NOV,R2,-5.0876472,119.5188217
Wednesday,Morning,batua raya,panakukang,TK,adolescent,PR,R2,-5.160743650000001,119.4594276
Tuesday,Morning,sungai saddang baru,rappocini,TM,adolescent,LK,R4,-5.1489226,119.4312157
Tuesday,Night,penghibur,ujung pandang,OC,adult,LK,R2,-5.147339,119.4090271
Wednesday,Morning,gunung merapi,ujung pandang,TM,adult,LK,R2,-5.1735643,119.394401
Wednesday,Night,perintis kemerdekaan,tamalanrea,TL,NOV,NOV,R4,-5.1257155,119.5040112
Sunday,Morning,perintis kemerdekaan,tamalanrea,TL,NOV,NOV,R4,-5.1257155,119.5040112
Tuesday,Night,hertasning,rappocini,OC,adult,LK,R2,-5.1629392,119.4367048
Saturday,Night,veteran selatan,makassar,T,adolescent,LK,R2,-5.1673416,119.4198624
Saturday,Night,borong raya,manggala,TL,NOV,NOV,R4,-5.1646341,119.4717009
Saturday,Morning,permandian barombong,tamalate,T,child,LK,R2,-5.2019757,119.3874662
Sunday,Night,goa ria,biringkanaya,TK,adult,LK,R3,-5.0810812,119.5253813
Monday,Night,kartini,ujung pandang,TL,NOV,NOV,R4,-5.1360991,119.4118141
Monday,Morning,sahabat raya,tamalanrea,TL,NOV,NOV,R4,-5.1264507,119.4884722
Monday,Night,arief rate,ujung pandang,TK,adolescent,PR,R2,-5.1473917,119.4130735
Monday,Night,tamalate 1,rappocini,TL,NOV,NOV,R2,-5.1675882,119.4479146
